car_name,SKU,page_name,max_qty,current_qty,image_url,price
Hot Wheels Premium Car Culture 2-Pack '71 AMC Javelin &amp; AMC Rebel Machine,JBL06,hot-wheels-premium-car-culture-2-pack-jbl06,574,433,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/weht9sigznlb3sqebci1_600x600.jpg,13
Hot Wheels Boulevard Vehicle Alfa Romeo GTV6 3.0,JBL16,hot-wheels-boulevard-vehicle-jbl16,2102,2021,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/kenrhiq3cmeo576ftg2z_600x600.jpg,6.5
Hot Wheels Premium Car Culture Japan Historics 4 Prince Skyline GT,HRV70,hot-wheels-car-culture-circuit-legends-hrv70,1140,997,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/xddanpqx4okkydrvoepf_600x600.jpg,6.5
Hot Wheels Car Culture Japan Historics 4: '72 Toyota Corolla Levin,HRV69,hot-wheels-car-culture-circuit-legends-hrv69,118,0,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/isayuy1u45ow9aglfe5n_600x600.jpg,6.5
Hot Wheels Car Culture Japan Historics 4: Mazda RX-3,HRV84,hot-wheels-car-culture-circuit-legends-hrv84,522,369,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/k4yuuhpgnpimwc43y0eq_600x600.jpg,6.5
Hot Wheels Car Culture Circuit Legends 2020 Jeep Gladiator,HRV91,hot-wheels-car-culture-circuit-legends-hrv91,1530,1466,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/pk0y57msydyhldh7lmsz_600x600.jpg,6.5
Hot Wheels Car Culture Circuit Legends Hummer H1,HRV90,hot-wheels-car-culture-circuit-legends-hrv90,1444,1374,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/jllzurkbm1bqrcr2pl3q_600x600.jpg,6.5
Hot Wheels Car Culture Circuit Legends Mitsubishi Pajero Evolution,HRV89,hot-wheels-car-culture-circuit-legends-hrv89,1543,1466,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/j6fv7oseor2fuopsmwqm_600x600.jpg,6.5
Hot Wheels Car Culture Circuit Legends Toyota Land Cruiser FJ60,HRV88,hot-wheels-car-culture-circuit-legends-hrv88,362,193,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/wufkmguqmzgzgpz0lwkz_600x600.jpg,6.5
Car Culture Slide Street 2 2023 Nissan Z,HKC86,hot-wheels-premium-car-culture-slide-street-hkc86,1154,1040,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/m4ux7hvs0iz4sjscult0_b5fe32f9-c976-4677-b990-1c68a1ab9544_600x600.jpg,6.5
Hot Wheels Car Culture Circuit Legends Alfa Romeo GTV 6 3.0,HRV80,hot-wheels-car-culture-circuit-legends-alfa-romeo-gtv-6-30-hrv80,1143,1091,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/gmklkni1vgdwzqxosxtu_600x600.jpg,6.49
Hot Wheels Premium Car Culture 2-Pack Ford Bronco R &amp; '17 Ford F-150 Raptor,HRR77,hot-wheels-premium-car-culture-2-pack-hrr77,763,652,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/eifnzsmepuoz0nrdeoe7_a3a81076-38a8-43d7-86dd-38fe76d4e635_600x600.jpg,13
Hot Wheels Elite 64 Porsche 928 Safari,HNJ58,hot-wheels-elite-64-porsche-928-safari-hnj58,41170,41034,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/xobwzokkjdtwsqkrvo5w_8b0f970b-ad24-4eec-a925-6e0168e94443_600x600.jpg,20
Hot Wheels Car Culture Off Road Big-Air Bel-Air,HKC74,hot-wheels-car-culture-circuit-legends-vehicles-hkc74,377,319,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/db5co7nqqqbdwbm8gl8q_600x600.jpg,6.5
Elite 64 Series Land Rover Defender 90 Pickup,HGW12,elite-64-series-land-rover-defender-90-pickup-hgw12,20969,20871,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/HGW12_01_600x600.jpg,20
Hot Wheels Elite 64 Mod Shop 1982 Custom Toyota Land Cruiser FJ45 Troopy,HWR97,hot-wheels-elite-64-mod-shop-1982-custom-toyota-land-cruiser-hwr97,25359,20833,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/ehekbrsegmztmm7v0bnj_600x600.jpg,37
Hot Wheels RacerVerse Marvel 2-Pack,HRN24,hot-wheels-racerverse-marvel-2-pack-hrn24,6627,6611,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/kfy0bjr2zxouweynzyzy_600x600.jpg,28
RLC Exclusive Real Riders Wheels Pack - Set 3,HGK89,rlc-exclusive-real-riders-wheels-pack-set-3-hgk89,6841,6747,https://cdn.shopify.com/s/files/1/0568/1132/3597/products/nxlihuarwfmduzyghtyd_600x600.jpg,17.5
Star Wars Starships Select AT-ST With Chewbacca,HRL25,star-wars-starships-select-at-st-with-chewbacca-hrl25,207,74,https://cdn.shopify.com/s/files/1/0568/1132/3597/products/gxtpi7zukp6ztybalikj_dc318168-976a-407e-a3a9-91ec824bc7b7_600x600.jpg,21
